,date,state,fips,cases,deaths,epoch_ms
235,2020-02-29,OREGON,41,1,0,1582963200000
236,2020-02-29,TEXAS,48,11,0,1582963200000
237,2020-02-29,UTAH,49,1,0,1582963200000
238,2020-02-29,WASHINGTON,53,10,1,1582963200000
239,2020-02-29,WISCONSIN,55,1,0,1582963200000
240,2020-03-01,ARIZONA,4,1,0,1583049600000
241,2020-03-01,CALIFORNIA,6,33,0,1583049600000
242,2020-03-01,FLORIDA,12,2,0,1583049600000
243,2020-03-01,ILLINOIS,17,3,0,1583049600000
244,2020-03-01,MASSACHUSETTS,25,1,0,1583049600000
245,2020-03-01,NEBRASKA,31,13,0,1583049600000
246,2020-03-01,NEWYORK,36,1,0,1583049600000
247,2020-03-01,OREGON,41,2,0,1583049600000
248,2020-03-01,RHODEISLAND,44,2,0,1583049600000
249,2020-03-01,TEXAS,48,11,0,1583049600000
250,2020-03-01,UTAH,49,1,0,1583049600000
251,2020-03-01,WASHINGTON,53,17,3,1583049600000
252,2020-03-01,WISCONSIN,55,1,0,1583049600000
253,2020-03-02,ARIZONA,4,1,0,1583136000000
254,2020-03-02,CALIFORNIA,6,38,0,1583136000000
255,2020-03-02,FLORIDA,12,2,0,1583136000000
256,2020-03-02,GEORGIA,13,2,0,1583136000000
257,2020-03-02,ILLINOIS,17,4,0,1583136000000
258,2020-03-02,MASSACHUSETTS,25,2,0,1583136000000
259,2020-03-02,NEBRASKA,31,13,0,1583136000000
260,2020-03-02,NEWHAMPSHIRE,33,1,0,1583136000000
261,2020-03-02,NEWYORK,36,1,0,1583136000000
262,2020-03-02,OREGON,41,2,0,1583136000000
263,2020-03-02,RHODEISLAND,44,2,0,1583136000000
264,2020-03-02,TEXAS,48,11,0,1583136000000
265,2020-03-02,UTAH,49,1,0,1583136000000
266,2020-03-02,WASHINGTON,53,23,6,1583136000000
267,2020-03-02,WISCONSIN,55,1,0,1583136000000
268,2020-03-03,ARIZONA,4,2,0,1583222400000
269,2020-03-03,CALIFORNIA,6,45,0,1583222400000
270,2020-03-03,FLORIDA,12,3,0,1583222400000
271,2020-03-03,GEORGIA,13,2,0,1583222400000
272,2020-03-03,ILLINOIS,17,4,0,1583222400000
273,2020-03-03,MASSACHUSETTS,25,2,0,1583222400000
274,2020-03-03,NEBRASKA,31,13,0,1583222400000
275,2020-03-03,NEWHAMPSHIRE,33,2,0,1583222400000
276,2020-03-03,NEWYORK,36,2,0,1583222400000
277,2020-03-03,NORTHCAROLINA,37,1,0,1583222400000
278,2020-03-03,OREGON,41,2,0,1583222400000
279,2020-03-03,RHODEISLAND,44,2,0,1583222400000
280,2020-03-03,TEXAS,48,11,0,1583222400000
281,2020-03-03,UTAH,49,1,0,1583222400000
