County Formatted,County,State Formatted,State,Population
Rio Blanco,RIOBLANCO,Colorado,COLORADO,6324
Rio Grande,RIOGRANDE,Colorado,COLORADO,11267
Routt,ROUTT,Colorado,COLORADO,25638
Saguache,SAGUACHE,Colorado,COLORADO,6824
San Juan,SANJUAN,Colorado,COLORADO,728
San Miguel,SANMIGUEL,Colorado,COLORADO,8179
Sedgwick,SEDGWICK,Colorado,COLORADO,2248
Summit,SUMMIT,Colorado,COLORADO,31011
Teller,TELLER,Colorado,COLORADO,25388
Washington,WASHINGTON,Colorado,COLORADO,4908
Weld,WELD,Colorado,COLORADO,324492
Yuma,YUMA,Colorado,COLORADO,10019
Fairfield,FAIRFIELD,Connecticut,CONNECTICUT,943332
Hartford,HARTFORD,Connecticut,CONNECTICUT,891720
Litchfield,LITCHFIELD,Connecticut,CONNECTICUT,180333
Middlesex,MIDDLESEX,Connecticut,CONNECTICUT,162436
New Haven,NEWHAVEN,Connecticut,CONNECTICUT,854757
New London,NEWLONDON,Connecticut,CONNECTICUT,265206
Tolland,TOLLAND,Connecticut,CONNECTICUT,150721
Windham,WINDHAM,Connecticut,CONNECTICUT,116782
Kent,KENT,Delaware,DELAWARE,180786
New Castle,NEWCASTLE,Delaware,DELAWARE,558753
Sussex,SUSSEX,Delaware,DELAWARE,234225
Alachua,ALACHUA,Florida,FLORIDA,269043
Baker,BAKER,Florida,FLORIDA,29210
Bay,BAY,Florida,FLORIDA,174705
Bradford,BRADFORD,Florida,FLORIDA,28201
Brevard,BREVARD,Florida,FLORIDA,601942
Broward,BROWARD,Florida,FLORIDA,1952778
Calhoun,CALHOUN,Florida,FLORIDA,14105
Charlotte,CHARLOTTE,Florida,FLORIDA,188910
Citrus,CITRUS,Florida,FLORIDA,149657
Clay,CLAY,Florida,FLORIDA,219252
Collier,COLLIER,Florida,FLORIDA,384902
Columbia,COLUMBIA,Florida,FLORIDA,71686
DeSoto,DESOTO,Florida,FLORIDA,38001
Dixie,DIXIE,Florida,FLORIDA,16826
Duval,DUVAL,Florida,FLORIDA,957755
Escambia,ESCAMBIA,Florida,FLORIDA,318316
Flagler,FLAGLER,Florida,FLORIDA,115081
Franklin,FRANKLIN,Florida,FLORIDA,12125
Gadsden,GADSDEN,Florida,FLORIDA,45660
Gilchrist,GILCHRIST,Florida,FLORIDA,18582
Glades,GLADES,Florida,FLORIDA,13811
Gulf,GULF,Florida,FLORIDA,13639
Hamilton,HAMILTON,Florida,FLORIDA,14428
Hardee,HARDEE,Florida,FLORIDA,26937
